COMP_CODE,DEPT_CODE,COURSE_CODE,COURSE_NAME,ID_FROM,ID_TO,ROOM_NO,MAY_DATE,SLOT
45,GER,N101T,BEGINNING GERMAN,2010PHXF416,2015H142135,2201,2,FN
667,MUSIC,N113T,INDIA CLASS MUSIC(INST)I,2013A1PS509,2013B5A7674,2201,2,FN
1432,BIO,F342,IMMUNOLOGY,2012A3B1149,2013B1A8248,6155,3,FN
1432,BIO,F342,IMMUNOLOGY,2013B1A8817,2013B1TS996,6156,3,FN
1512,BITS,F385,INTRO TO GENDER STUDIES,2012A3PS089,2014A4PS337,6160,3,FN
1852,BITS,F490,PROJECT MANAGEMENT,2030B1PS555,2030B1PS555,6108,3,FN
1236,CE,F423,GREEN BUILD & ENER CONSE,2012A2PS525,2013A2PS044,6102,3,FN
1236,CE,F423,GREEN BUILD & ENER CONSE,2013A2PS052,2014A2PS793,6103,3,FN
1205,CHE,F421,BIOCHEMICAL ENGINEERING,2011B1A1732,2013A1PS027,2212,3,FN
1205,CHE,F421,BIOCHEMICAL ENGINEERING,2013A1PS050,2013A1PS742,2214,3,FN
1561,CHEM,F341,CHEMICAL EXPER II,2013B2A1782,2013B2A3797,2215,3,FN
1561,CHEM,F341,CHEMICAL EXPER II,2013B2A3824,2013B2TS967,2216,3,FN
1092,CS,F213,OBJECT ORIENTED PROG,2011B2A3757,2013A7TS083,2201,3,FN
1092,CS,F213,OBJECT ORIENTED PROG,2013A8PS074,2014A3A7302,2203,3,FN
1092,CS,F213,OBJECT ORIENTED PROG,2014A3PS048,2014A8PS464,2204,3,FN
1092,CS,F213,OBJECT ORIENTED PROG,2014A8PS467,2014B5A1878,2206,3,FN
1449,ECON,F341,PUBLIC FIN THEO & POLICY,2012B2A4722,2014B2AB762,6106,3,FN
1449,ECON,F341,PUBLIC FIN THEO & POLICY,2012A1PS421,2012B2A3773,6107,3,FN
1875,ECON,F435,MARKETING RESEARCH,2011B3A4382,2014B3A4581,2206,3,FN
1875,ECON,F435,MARKETING RESEARCH,2014B3A4686,2014B4AB819,2207,3,FN
1252,EEE,F414,TELECOM SWIT SYS & NETWK,2011B2A3797,2014A3PS274,6158,3,FN
1253,EEE,F433,ELECTR MAG FIELD & WAVES,2011B3A8588,2013A8PS868,6156,3,FN
1171,GS,F233,PUBLIC POLICY,2011A5TS891,2014D2TS980,6161,3,FN
1158,GS,F241,CREATIVE WRITING,2011A7TS052,2014A4PS344,6101,3,FN
1158,GS,F241,CREATIVE WRITING,2014A4PS352,2014D2TS993,6102,3,FN
1174,GS,F312,APPLIED PHILOSOPHY,2011B4A8695,2012A7PS021,6104,3,FN
1174,GS,F312,APPLIED PHILOSOPHY,2012A7PS039,2014B5A7849,6105,3,FN
1168,GS,F343,SHORT FILM & VIDEO PROD,2011B1A2830,2014A4PS330,6151,3,FN
1168,GS,F343,SHORT FILM & VIDEO PROD,2014A4PS392,2014B5A7681,6152,3,FN
1643,HSS,F316,POP LITER & CULT OF S ASIA,2012A4PS296,2014B5A7717,6159,3,FN
1599,HSS,F334,SRIMAD BHAGAVAD GITA,2012A3PS139,2014ABPS851,2217,3,FN
1599,HSS,F334,SRIMAD BHAGAVAD GITA,2014ABPS884,2014B5A7310,2221,3,FN
1352,INSTR,F414,TELECOM SWIT SYS & NETWK,2011B2A8782,2012B5A8565,6158,3,FN
1140,IS,F213,OBJECT ORIENTED PROG,2011B5A3557,2013A5PS909,2201,3,FN
1140,IS,F213,OBJECT ORIENTED PROG,2013A8PS378,2014A2PS490,2203,3,FN
1140,IS,F213,OBJECT ORIENTED PROG,2014A8PS412,2014A8PS448,2204,3,FN
1474,MATH,F343,PARTIAL DIFF EQUATIONS,2015B2PS848,2015B3PS536,6152,3,FN
1474,MATH,F343,PARTIAL DIFF EQUATIONS,2015B3PS537,2015B3TS966,6153,3,FN
244,MBA,C483,MARKETING RESEARCH,2015B3TS967,2015B4PS557,2207,3,FN
1909,MBA,G555,INTERNATIONAL HUMAN RES. MGMT.,2013D2TS961,2015H149294,6161,3,FN
1268,ME,F312,ADV MECHANICS OF SOLIDS,2015B4PS564,2015B4PS663,2215,3,FN
1307,PHA,F417,PHARMACOECONOMICS,2015B5PS681,2015D2TS999,6156,3,FN
1307,PHA,F417,PHARMACOECONOMICS,2013A5PS880,2014A5PS843,6157,3,FN
1490,PHY,F342,ATOMIC & MOLECULAR PHY,2012B5A2604,2013B5A1804,2221,3,FN
1490,PHY,F342,ATOMIC & MOLECULAR PHY,2013B5A2572,2013B5TS960,2222,3,FN
203,BIO,G642,EXPERIMENTAL TECHNIQUES,2015H129002,2015PHXP419,6152,3,AN
1860,BITS,F114,GENERAL MATHEMATICS II,2015A5PS896,2015A5PS956,6108,3,AN
2146,CHE,G552,ADV TRANSPORT PHENOMENA,2012A1TS406,2015H101035,6107,3,AN
507,CS,G513,NETWORK SECURITY,2012A7PS100,2015H103100,5103,3,AN
1011,MATH,F112,MATHEMATICS-II,2012A2TS376,2015A2PS673,2201,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A2PS676,2015A2PS822,2203,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A2PS830,2015A3PS213,2204,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A3PS216,2015A4PS173,2206,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A4PS181,2015A4PS357,2207,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A4PS364,2015A5PS908,2212,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A5PS912,2015A5PS950,2213,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A5PS953,2015A7PS050,2214,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A7PS051,2015A7PS078,2215,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A7PS079,2015A7PS108,2216,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A7PS109,2015A8PS484,2217,3,AN
1011,MATH,F112,MATHEMATICS-II,2015A8PS486,2015ABPS866,2221,3,AN
1011,MATH,F112,MATHEMATICS-II,2015ABPS870,2015B1PS861,2222,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B1PS867,2015B1TS929,2234,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B1TS977,2015B2PS847,2235,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B2PS848,2015B3PS536,6101,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B3PS537,2015B3TS966,6102,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B3TS967,2015B4PS557,6103,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B4PS564,2015B4PS663,6104,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B1PS867,2015B1TS929,6105,3,AN
1011,MATH,F112,MATHEMATICS-II,2015B1TS977,2015B2PS847,6106,3,AN
933,MBA,C427,E-BUSINESS & INTERNET MKT,2015H149226,2015H149293,6152,3,AN
327,SS,G513,NETWORK SECURITY,2015H112186,2015H112186,6151,3,AN
1332,BITS,F311,IMAGE PROCESSING,2011A8TS307,2013A7PS175,6114,4,FN
1332,BITS,F311,IMAGE PROCESSING,2013A7PS190,2014B5A7849,6116,4,FN
1213,CHE,F418,MODEL & SIMU IN CHE ENGG,2011B1A1732,2013A1PS434,6101,4,FN
1213,CHE,F418,MODEL & SIMU IN CHE ENGG,2013A1PS454,2013A1PS728,6102,4,FN
1583,CHEM,F333,CHEMISTRY OF MATERIALS,2012A1PS421,2012B2A3773,2207,4,FN
1583,CHEM,F333,CHEMISTRY OF MATERIALS,2012B2A4722,2014B2AB762,2212,4,FN
1317,CS,F342,COMPUTER ARCHITECTURE,2012A1PS421,2012B2A3773,6106,4,FN
1551,ECON,F413,FINANCIAL ENGINEERING,2012B2A4722,2014B2AB762,2217,4,FN
1260,EEE,F416,DIGITAL COMMUNICATION,2011B2A3757,2014B4A2813,2207,4,FN
1170,GS,F232,INTRODUCTORY PSYCHOLOGY,2012A1PS425,2012C6PS745,6103,4,FN
1170,GS,F232,INTRODUCTORY PSYCHOLOGY,2012C7PS520,2015A1PS727,6104,4,FN
1645,HSS,F317,INTRO TO GLOBALIZATION,2011B2A2729,2014D2TS978,6105,4,FN
1609,HSS,F328,HUMAN RESOURCE DEVELOP,2012A1PS416,2014B3TS954,2201,4,FN
1609,HSS,F328,HUMAN RESOURCE DEVELOP,2014B3TS961,2014D2TS993,2203,4,FN
1833,HSS,F341,PERFORMANCE DESIGN,2012A1PS357,2014D2TS991,2222,4,FN
1493,PHY,F215,INTRO TO ASTRO & ASTROPH,2012A2TS376,2014B5A3858,2221,4,FN
1493,PHY,F215,INTRO TO ASTRO & ASTROPH,2014B5A3861,2014B5TS968,2222,4,FN
345,CE,G612,ADVANCED STEEL STRUCTURE,2011HS43451,2015H143052,2201,4,AN
80,EEE,G622,ADVANCED DIGITAL COMMUNI,2015H124065,2015H124074,2201,4,AN
369,MSE,G511,MECHATRONICS,2015B4PS684,2015B5PS671,2201,4,AN
1424,BIO,F241,ECOLOGY & ENVIRON SCI,2014A1B1525,2014B1A4487,5101,5,FN
1424,BIO,F241,ECOLOGY & ENVIRON SCI,2014B1A4552,2014B1TS972,5102,5,FN
1194,CE,F244,HIGHWAY ENGINEERING,2012C7A2419,2014A2PS528,2207,5,FN
1194,CE,F244,HIGHWAY ENGINEERING,2014A2PS537,2014A2PS796,2212,5,FN
1183,CHE,F244,SEPARATION PROCESSES I,2012A1PS427,2013B1A1245,6157,5,FN
1183,CHE,F244,SEPARATION PROCESSES I,2013B1A1408,2013B5A1696,6158,5,FN
1183,CHE,F244,SEPARATION PROCESSES I,2013B5A1783,2014A1PS543,6159,5,FN
1183,CHE,F244,SEPARATION PROCESSES I,2014A1PS544,2014A1PS646,6160,5,FN
1183,CHE,F244,SEPARATION PROCESSES I,2014A1PS653,2014A1PS734,6161,5,FN
1206,CHE,F411,ENVIR POLLUTION CONTROL,2012A1PS413,2013A1PS707,2206,5,FN
1557,CHEM,F244,PHYSICAL CHEMISTRY III,2014B2A1019,2014B2A3122,5102,5,FN
1557,CHEM,F244,PHYSICAL CHEMISTRY III,2014B2A3153,2014B2TS971,5105,5,FN
1318,CS,F363,COMPILER CONSTRUCTION,2012B1A7766,2012B4A7714,6106,5,FN
1318,CS,F363,COMPILER CONSTRUCTION,2012B4A7819,2013A7PS029,6107,5,FN
1318,CS,F363,COMPILER CONSTRUCTION,2013A7PS030,2013A7PS064,6108,5,FN
1318,CS,F363,COMPILER CONSTRUCTION,2013A7PS065,2013A7PS134,6151,5,FN
1318,CS,F363,COMPILER CONSTRUCTION,2013A7PS135,2013A7TS114,6152,5,FN
1443,ECON,F242,MICROECONOMICS,2013B3TS963,2014B3A4592,2222,5,FN
1443,ECON,F242,MICROECONOMICS,2014B3A4656,2014B3TS963,2235,5,FN
1240,EEE,F243,SIGNALS & SYSTEMS,2013A3PS308,2014A3PS194,2201,5,FN
1240,EEE,F243,SIGNALS & SYSTEMS,2014A3PS196,2014A3PS256,2203,5,FN
1240,EEE,F243,SIGNALS & SYSTEMS,2014A3PS257,2014A7PS335,2204,5,FN
1245,EEE,F341,ANALOG ELECTRONICS,2012A3PS131,2012B3A3602,2214,5,FN
1245,EEE,F341,ANALOG ELECTRONICS,2012B4A3173,2012B5A3554,2215,5,FN
